Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
Les yeux sans visage,1960,"Drama, Horror",90 min,7.7,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face."
Mononoke-hime,1997,"Animation, Action, Adventure",134 min,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
The Wild Bunch,1969,"Action, Adventure, Western",145 min,7.9,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
Amadeus,1984,"Biography, Drama, History",160 min,8.3,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
Star Trek,2009,"Action, Adventure, Sci-Fi",127 min,7.9,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
The Lunchbox,2013,"Drama, Romance",104 min,7.8,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
Le Petit Prince,2015,"Animation, Adventure, Drama",108 min,7.7,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
El ángel exterminador,1962,"Drama, Fantasy",95 min,8.1,The guests at an upper-class dinner party find themselves unable to leave.
Persona,1966,"Drama, Thriller",85 min,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.
Titanic,1997,"Drama, Romance",194 min,7.8,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Gladiator,2000,"Action, Adventure, Drama",155 min,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
La grande bellezza,2013,Drama,141 min,7.8,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
Ace in the Hole,1951,"Drama, Film-Noir",111 min,8.1,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
Ferris Bueller's Day Off,1986,Comedy,103 min,7.8,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
WALL·E,2008,"Animation, Adventure, Family",98 min,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Blade Runner,1982,"Action, Sci-Fi, Thriller",117 min,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
The Lives of Others,2006,"Drama, Mystery, Thriller",137 min,8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
The Circus,1928,"Comedy, Romance",72 min,8.1,The Tramp finds work and the girl of his dreams at a circus.
The Manchurian Candidate,1962,"Drama, Thriller",126 min,7.9,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.
Lifeboat,1944,"Drama, War",97 min,7.6,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.
The Lady Vanishes,1938,"Mystery, Thriller",96 min,7.8,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
Argo,2012,"Biography, Drama, Thriller",120 min,7.7,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
La La Land,2016,"Comedy, Drama, Music",128 min,8.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Donnie Darko,2001,"Drama, Mystery, Sci-Fi",113 min,8.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
Out of the Past,1947,"Crime, Drama, Film-Noir",97 min,8.0,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames."
Jûbê ninpûchô,1993,"Animation, Action, Adventure",94 min,7.9,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.
Spotlight,2015,"Biography, Crime, Drama",129 min,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
In America,2002,Drama,105 min,7.7,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
Rio Bravo,1959,"Action, Drama, Western",141 min,8.0,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
Ex Machina,2014,"Drama, Sci-Fi, Thriller",108 min,7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
Jagten,2012,Drama,115 min,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
The Dark Knight Rises,2012,"Action, Adventure",164 min,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Barton Fink,1991,"Comedy, Drama, Thriller",116 min,7.7,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
Bride of Frankenstein,1935,"Drama, Horror, Sci-Fi",75 min,7.8,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
Yip Man,2008,"Action, Biography, Drama",106 min,8.0,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
Un long dimanche de fiançailles,2004,"Drama, Mystery, Romance",133 min,7.6,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
Underground,1995,"Comedy, Drama, War",170 min,8.1,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate."
Walk the Line,2005,"Biography, Drama, Music",136 min,7.8,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
Remember the Titans,2000,"Biography, Drama, Sport",113 min,7.8,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
East of Eden,1955,Drama,118 min,7.9,"Two brothers struggle to maintain their strict, Bible-toting father's favor."
Dark City,1998,"Mystery, Sci-Fi, Thriller",100 min,7.6,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
Indiana Jones and the Last Crusade,1989,"Action, Adventure",127 min,8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
Seven Pounds,2008,Drama,123 min,7.6,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
Hannah and Her Sisters,1986,"Comedy, Drama",107 min,7.9,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
Glengarry Glen Ross,1992,"Crime, Drama, Mystery",100 min,7.7,An examination of the machinations behind the scenes at a real estate office.
Escape from Alcatraz,1979,"Action, Biography, Crime",112 min,7.6,"Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possible successful attempt at escaping from one of the most infamous prisons in the world."
