Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
The Longest Day,1962,"Action, Drama, History",178 min,7.8,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
Gangs of Wasseypur,2012,"Action, Comedy, Crime",321 min,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
Raging Bull,1980,"Biography, Drama, Sport",129 min,8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Pulp Fiction,1994,"Crime, Drama",154 min,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Gravity,2013,"Drama, Sci-Fi, Thriller",91 min,7.7,Two astronauts work together to survive after an accident leaves them stranded in space.
Before Midnight,2013,"Drama, Romance",109 min,7.9,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
The Shining,1980,"Drama, Horror",146 min,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Moneyball,2011,"Biography, Drama, Sport",133 min,7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
A Little Princess,1995,"Drama, Family, Fantasy",97 min,7.7,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",156 min,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.
Shutter Island,2010,"Mystery, Thriller",138 min,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
Das Experiment,2001,"Drama, Thriller",120 min,7.7,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
Million Dollar Baby,2004,"Drama, Sport",132 min,8.1,A determined woman works with a hardened boxing trainer to become a professional.
Kahaani,2012,"Mystery, Thriller",122 min,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
La Vie En Rose,2007,"Biography, Drama, Music",140 min,7.6,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy."
C.R.A.Z.Y.,2005,"Comedy, Drama",129 min,7.9,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs."
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Giù la testa,1971,"Drama, War, Western",157 min,7.6,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.
3:10 to Yuma,2007,"Action, Crime, Drama",122 min,7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
Det sjunde inseglet,1957,"Drama, Fantasy, History",96 min,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
The Usual Suspects,1995,"Crime, Mystery, Thriller",106 min,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
Badlands,1973,"Action, Crime, Drama",94 min,7.8,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.
Scarface,1983,"Crime, Drama",170 min,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Le passé,2013,"Drama, Mystery",130 min,7.8,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
Kimi no na wa.,2016,"Animation, Drama, Fantasy",106 min,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
Akira,1988,"Animation, Action, Sci-Fi",124 min,8.0,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",92 min,8.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
Frost/Nixon,2008,"Biography, Drama, History",122 min,7.7,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
From Here to Eternity,1953,"Drama, Romance, War",118 min,7.6,"In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love."
Saving Private Ryan,1998,"Drama, War",169 min,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Call Me by Your Name,2017,"Drama, Romance",132 min,7.9,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
Le charme discret de la bourgeoisie,1972,Comedy,102 min,7.9,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
A Christmas Story,1983,"Comedy, Family",93 min,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",169 min,7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
La planète sauvage,1973,"Animation, Sci-Fi",72 min,7.8,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
Dead Man's Shoes,2004,"Crime, Drama, Thriller",90 min,7.6,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.
The Imitation Game,2014,"Biography, Drama, Thriller",114 min,8.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
Modern Times,1936,"Comedy, Drama, Family",87 min,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Ying xiong,2002,"Action, Adventure, History",120 min,7.9,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
Toy Story 2,1999,"Animation, Adventure, Comedy",92 min,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
The Secret of Kells,2009,"Animation, Adventure, Family",71 min,7.6,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers."
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",157 min,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
Ba wang bie ji,1993,"Drama, Music, Romance",171 min,8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
Short Cuts,1993,"Comedy, Drama",188 min,7.7,The day-to-day lives of several suburban Los Angeles residents.
Key Largo,1948,"Action, Crime, Drama",100 min,7.8,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
The Color Purple,1985,Drama,154 min,7.8,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
Empire of the Sun,1987,"Action, Drama, History",153 min,7.7,A young English boy struggles to survive under Japanese occupation during World War II.
Mimi wo sumaseba,1995,"Animation, Drama, Family",111 min,7.9,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
Hamilton,2020,"Biography, Drama, History",160 min,8.6,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Bringing Up Baby,1938,"Comedy, Family, Romance",102 min,7.8,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
Amour,2012,"Drama, Romance",127 min,7.9,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
Nosferatu,1922,"Fantasy, Horror",94 min,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
Vivre sa vie: Film en douze tableaux,1962,Drama,80 min,8.0,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
Ratatouille,2007,"Animation, Adventure, Comedy",111 min,8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
The Great Dictator,1940,"Comedy, Drama, War",125 min,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Coco,2017,"Animation, Adventure, Family",105 min,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Diarios de motocicleta,2004,"Adventure, Biography, Drama",126 min,7.8,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",95 min,8.1,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
Viskningar och rop,1972,Drama,91 min,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
The Pursuit of Happyness,2006,"Biography, Drama",117 min,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
Slumdog Millionaire,2008,"Drama, Romance",120 min,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
The Maltese Falcon,1941,"Film-Noir, Mystery",100 min,8.0,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
The Deer Hunter,1978,"Drama, War",183 min,8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
"Il buono, il brutto, il cattivo",1966,Western,161 min,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Judgment at Nuremberg,1961,"Drama, War",179 min,8.2,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
Casino Royale,2006,"Action, Adventure, Thriller",144 min,8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
The Florida Project,2017,Drama,111 min,7.6,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World."
Taken,2008,"Action, Thriller",90 min,7.8,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",120 min,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
Forushande,2016,Drama,124 min,7.8,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
My Cousin Vinny,1992,"Comedy, Crime",120 min,7.6,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
Hana-bi,1997,"Crime, Drama, Romance",103 min,7.8,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
The Lion in Winter,1968,"Biography, Drama, History",134 min,7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him."
Rogue One,2016,"Action, Adventure, Sci-Fi",133 min,7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",90 min,7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents."
The Message,1976,"Biography, Drama, History",177 min,8.2,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",76 min,7.8,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
Little Women,2019,"Drama, Romance",135 min,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
The African Queen,1951,"Adventure, Drama, Romance",105 min,7.7,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship."
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",129 min,8.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
Eskiya,1996,"Crime, Drama, Thriller",128 min,8.2,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
The Sixth Sense,1999,"Drama, Mystery, Thriller",107 min,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
Serenity,2005,"Action, Adventure, Sci-Fi",119 min,7.8,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.
Victoria,2015,"Crime, Drama, Romance",138 min,7.6,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.
Boyz n the Hood,1991,"Crime, Drama",112 min,7.8,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
Mou gaan dou,2002,"Action, Crime, Drama",101 min,8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
Kagemusha,1980,"Drama, History, War",180 min,8.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
Apocalypse Now,1979,"Drama, Mystery, War",147 min,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136 min,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
Moonrise Kingdom,2012,"Comedy, Drama, Romance",94 min,7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Lost Highway,1997,"Mystery, Thriller",134 min,7.6,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray."
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",87 min,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
Full Metal Jacket,1987,"Drama, War",116 min,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149 min,8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
Young Frankenstein,1974,Comedy,106 min,8.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
My Left Foot: The Story of Christy Brown,1989,"Biography, Drama",103 min,7.9,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
The Grapes of Wrath,1940,"Drama, History",129 min,8.0,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Drama",125 min,8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
Babam ve Oglum,2005,"Drama, Family",112 min,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
Watchmen,2009,"Action, Drama, Mystery",162 min,7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
Jodaeiye Nader az Simin,2011,Drama,123 min,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Short Term 12,2013,Drama,96 min,8.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",138 min,7.6,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO."
Inside Man,2006,"Crime, Drama, Mystery",129 min,7.6,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
"Synecdoche, New York",2008,Drama,124 min,7.6,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play."
Ajeossi,2010,"Action, Crime, Drama",119 min,7.8,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
About Time,2013,"Comedy, Drama, Fantasy",123 min,7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
Män som hatar kvinnor,2009,"Crime, Drama, Mystery",152 min,7.8,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108 min,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Forrest Gump,1994,"Drama, Romance",142 min,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Groundhog Day,1993,"Comedy, Fantasy, Romance",101 min,8.0,A weatherman finds himself inexplicably living the same day over and over again.
Manhattan,1979,"Comedy, Drama, Romance",96 min,7.9,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
The Lion King,1994,"Animation, Adventure, Drama",88 min,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Léon,1994,"Action, Crime, Drama",110 min,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Martian,2015,"Adventure, Drama, Sci-Fi",144 min,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
Unforgiven,1992,"Drama, Western",130 min,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
The Fall,2006,"Adventure, Drama, Fantasy",117 min,7.9,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
The Invisible Man,1933,"Horror, Sci-Fi",71 min,7.7,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
La migliore offerta,2013,"Crime, Drama, Mystery",131 min,7.8,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy",101 min,7.7,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
Bacheha-Ye aseman,1997,"Drama, Family, Sport",89 min,8.3,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Planet of the Apes,1968,"Adventure, Sci-Fi",112 min,8.0,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Les diaboliques,1955,"Crime, Drama, Horror",117 min,8.0,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
Dog Day Afternoon,1975,"Biography, Crime, Drama",125 min,8.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
Sabrina,1954,"Comedy, Drama, Romance",113 min,7.7,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her."
Just Mercy,2019,"Biography, Crime, Drama",137 min,7.6,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.
Down by Law,1986,"Comedy, Crime, Drama",107 min,7.8,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
Sholay,1975,"Action, Adventure, Comedy",204 min,8.2,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",76 min,8.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
La piel que habito,2011,"Drama, Horror, Thriller",120 min,7.6,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
Billy Elliot,2000,"Drama, Music",110 min,7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
Sleepers,1996,"Crime, Drama, Thriller",147 min,7.6,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge."
The Killing Fields,1984,"Biography, Drama, History",141 min,7.8,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians."
Magnolia,1999,Drama,188 min,8.0,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
Mulan,1998,"Animation, Adventure, Family",88 min,7.6,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
Skyfall,2012,"Action, Adventure, Thriller",143 min,7.7,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
La haine,1995,"Crime, Drama",98 min,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Amarcord,1973,"Comedy, Drama, Family",123 min,7.9,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
Special Chabbis,2013,"Crime, Drama, Thriller",144 min,8.0,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
Goodfellas,1990,"Biography, Crime, Drama",146 min,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
Airlift,2016,"Drama, History",130 min,8.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
Papurika,2006,"Animation, Drama, Fantasy",90 min,7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it."
Prisoners,2013,"Crime, Drama, Mystery",153 min,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
The Great Escape,1963,"Adventure, Drama, History",172 min,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
The Warriors,1979,"Action, Crime, Thriller",92 min,7.6,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down."
Cidade de Deus,2002,"Crime, Drama",130 min,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Tropa de Elite,2007,"Action, Crime, Drama",115 min,8.0,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
Lat sau san taam,1992,"Action, Crime, Thriller",128 min,7.8,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
Goldfinger,1964,"Action, Adventure, Thriller",110 min,7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
Blade Runner 2049,2017,"Action, Drama, Mystery",164 min,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Per un pugno di dollari,1964,"Action, Drama, Western",99 min,8.0,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
Hiroshima mon amour,1959,"Drama, Romance",90 min,7.9,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
Der Name der Rose,1986,"Crime, Drama, Mystery",130 min,7.7,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
Room,2015,"Drama, Thriller",118 min,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Adams æbler,2005,"Comedy, Crime, Drama",94 min,7.8,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.
Inglourious Basterds,2009,"Adventure, Drama, War",153 min,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Miracle on 34th Street,1947,"Comedy, Drama, Family",96 min,7.9,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing."
Oldeuboi,2003,"Action, Drama, Mystery",101 min,8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
American Gangster,2007,"Biography, Crime, Drama",157 min,7.8,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
Paper Moon,1973,"Comedy, Crime, Drama",102 min,8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
Halloween,1978,"Horror, Thriller",91 min,7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
The Hustler,1961,"Drama, Sport",134 min,8.0,An up-and-coming pool player plays a long-time champion in a single high-stakes match.
Rang De Basanti,2006,"Comedy, Crime, Drama",167 min,8.2,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Alien,1979,"Horror, Sci-Fi",117 min,8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
Kingsman: The Secret Service,2014,"Action, Adventure, Comedy",129 min,7.7,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
Roman Holiday,1953,"Comedy, Romance",118 min,8.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
Tôkyô monogatari,1953,Drama,136 min,8.2,"An old couple visit their children and grandchildren in the city, but receive little attention."
The Thing,1982,"Horror, Mystery, Sci-Fi",109 min,8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Taegukgi hwinalrimyeo,2004,"Action, Drama, War",140 min,8.1,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
